# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	808455
#@/user_id	Mac
an an xin xin 	安安心心	c=1 d=3.30404e-178 t=808443
an bao 	安保	c=1 d=0 t=808443
an ben 	安本	c=1 d=0 t=808443
an bi li 	按比例	c=1 d=1.81188e-110 t=808443
an bian 	岸邊	c=3 d=0 t=808443
an cuo 	安厝	c=4 d=1.05425e-92 t=808443
an dan 	黯淡	c=0 d=0 t=808443
an dao 	暗道	c=1 d=0 t=808443
an de ma 	安德玛	c=1 d=0 t=808443
an di 	暗地	c=1 d=0 t=808443
an di 	案底	c=1 d=0 t=808443
an diao 	按掉	c=1 d=1.97022e-272 t=808443
an ding 	安定	c=1 d=0 t=808443
an dun 	安頓	c=1 d=0 t=808443
an fu 	安撫	c=2 d=0 t=808443
an ge 	安格	c=17 d=5.51844e-07 t=808443
an hao 	暗號	c=3 d=5.67187e-153 t=808443
an hei 	暗黑	c=4 d=3.38261e-131 t=808443
an hei feng 	暗黑風	c=1 d=3.91576e-147 t=808443
an hong se 	暗紅色	c=1 d=0 t=808443
an hui 	安徽	c=15 d=2.52095e-172 t=808443
an hui ning guo 	安徽宁国	c=0 d=8.65507e-273 t=808443
an jian 	安檢	c=17 d=1.63454e-16 t=808443
an jian 	按鍵	c=21 d=4.38498e-05 t=808443
an jian 	案件	c=2 d=3.05957e-156 t=808443
an jian jing ling 	按键精灵	c=1 d=3.33395e-137 t=808443
an jie 	按揭	c=1 d=0 t=808443
an jing 	安靜	c=15 d=9.98267e-10 t=808443
an li 	安利	c=19 d=1.15204e-18 t=808443
an li 	案例	c=8 d=1.14629e-18 t=808443
an lian 	暗戀	c=3 d=9.28571e-129 t=808443
an mian 	安眠	c=1 d=7.24721e-66 t=808443
an mian yao 	安眠藥	c=1 d=0 t=808443
an ming fan 	氨明矾	c=3 d=0 t=808443
an mo 	按摩	c=27 d=1.17918e-16 t=808443
an mo yi 	按摩椅	c=2 d=0 t=808443
an na 	安娜	c=2 d=1.41334e-70 t=808443
an ni 	安妮	c=1 d=0 t=808443
an niu 	按鈕	c=26 d=0.647264 t=808443
an pai 	安排	c=121 d=3.09134e-13 t=808443
an pai na ge 	安排那個	c=1 d=0 t=808443
an pai xia 	安排下	c=2 d=2.23434e-17 t=808443
an qi la 	安其拉	c=1 d=0 t=808443
an qi la 	安琪拉	c=4 d=2.00317e-85 t=808443
an qing 	案情	c=1 d=0 t=808443
an quan 	安全	c=192 d=0.0103609 t=808443
an quan dai 	安全帶	c=3 d=0 t=808443
an quan di yi 	安全第一	c=10 d=4.4439e-18 t=808443
an quan gan 	安全感	c=16 d=1.09001e-14 t=808443
an quan jia shi 	安全駕駛	c=1 d=0 t=808443
an quan men 	安全門	c=1 d=0 t=808443
an quan xing 	安全性	c=2 d=0 t=808443
an quan yuan 	安全遠	c=2 d=0 t=808443
an quan zu 	安全組	c=2 d=0 t=808443
an sha 	暗殺	c=4 d=2.24543e-243 t=808443
an shang 	安上	c=2 d=0 t=808443
an shang 	岸上	c=1 d=0 t=808443
an sheng 	安生	c=1 d=1.79563e-298 t=808443
an shi 	按時	c=15 d=1.20297e-27 t=808443
an shi 	暗示	c=17 d=3.3888e-35 t=808443
an shi chi 	按時喫	c=1 d=0 t=808443
an shi chi fan 	按時吃饭	c=1 d=0 t=808443
an shi wo 	暗示我	c=1 d=0 t=808443
an wei 	安慰	c=25 d=6.08308e-06 t=808443
an wei ren 	安慰人	c=3 d=0 t=808443
an wen 	安穩	c=4 d=0 t=808443
an xia qu 	按下去	c=1 d=0 t=808443
an xiang 	安詳	c=1 d=5.95278e-251 t=808443
an xiang cao zuo 	暗箱操作	c=1 d=0 t=808443
an xie 	俺歇	c=1 d=0 t=808443
an xin 	安信	c=1 d=0 t=808443
an xin 	安心	c=20 d=2.0571e-74 t=808443
an xu 	按需	c=4 d=0 t=808443
an ya 	按壓	c=1 d=0 t=808443
an yang 	安陽	c=1 d=1.87419e-243 t=808443
an yang shi 	安陽市	c=0 d=0 t=808443
an yang shi ne 	安陽市呢	c=1 d=0 t=808443
an yi 	安義	c=1 d=0 t=808443
an yi 	安逸	c=4 d=6.39331e-238 t=808443
an yi xia 	按一下	c=1 d=0 t=808443
an yu 	暗語	c=1 d=1.41787e-137 t=808443
an yu xian zhuang 	安於現狀	c=0 d=0 t=808443
an zhao 	按照	c=39 d=0.12307 t=808443
an zhe 	按着	c=4 d=6.42749e-95 t=808443
an zhi 	暗指	c=1 d=1.87062e-250 t=808443
an zhong 	暗中	c=2 d=6.31187e-293 t=808443
an zhu 	按住	c=32 d=8.05418e-14 t=808443
an zhuan 	暗轉	c=1 d=0 t=808443
an zhuang 	安裝	c=160 d=1.39747 t=808443
an zhuang bao 	安裝包	c=1 d=0.722527 t=808443
an zhuang fei 	安裝費	c=4 d=0 t=808443
an zhuang kong 	安装孔	c=1 d=0 t=808443
an zhuang qi 	安裝器	c=1 d=2.6457e-152 t=808443
an zhuang wan 	安裝完	c=1 d=0 t=808443
an zhui o 	按追哦	c=1 d=3.16595e-117 t=808443
an zhun 	案准	c=0 d=0 t=808443
an zhun ge 	案准個	c=2 d=1.35415e-96 t=808443
an zhuo 	安卓	c=132 d=0.00744403 t=808443
an zhuo za 	安卓咋	c=1 d=3.24345e-78 t=808443
an zu 	安祖	c=0 d=0 t=808443
an zu hou 	安祖後	c=1 d=0 t=808443
ang 	昂	c=1 d=1.09255e-100 t=808443
ang hao 	昂好	c=0 d=4.40628e-66 t=808443
ang ren 	昂仁	c=1 d=0 t=808443
ao 	傲	c=1 d=0 t=808443
ao 	嗷	c=6 d=8.9219e-100 t=808443
ao 	奧	c=7 d=2.41046e-112 t=808443
ao 	熬	c=24 d=0.084163 t=808443
ao ao 	嗷嗷	c=2 d=1.91161e-300 t=808443
ao ao dai bu 	嗷嗷待哺	c=1 d=0 t=808443
ao ao jiao 	嗷嗷叫	c=57 d=4.40957e-15 t=808443
ao ba ma 	奧巴馬	c=1 d=0 t=808443
ao ban 	凹版	c=1 d=6.76142e-132 t=808443
ao bing 	敖丙	c=3 d=2.75238e-264 t=808443
ao da li ya 	澳大利亞	c=1 d=9.84581e-171 t=808443
ao de sai 	奧德賽	c=2 d=0 t=808443
ao di 	奧迪	c=2 d=0 t=808443
ao di li 	奧地利	c=1 d=5.24365e-200 t=808443
ao dian 	奥点	c=1 d=0 t=808443
ao hui 	懊悔	c=1 d=0 t=808443
ao jiao 	傲角	c=1 d=0 t=808443
ao kou 	拗口	c=1 d=1.48315e-284 t=808443
ao li ao 	奧利奧	c=3 d=5.25259e-183 t=808443
ao lian 	熬煉	c=1 d=1.91921e-140 t=808443
ao lin 	奧林	c=1 d=2.418e-299 t=808443
ao men 	澳門	c=1 d=6.83795e-88 t=808443
ao mi ke rong 	奧密克戎	c=1 d=5.12743e-201 t=808443
ao po 	澳珀	c=1 d=1.80991e-156 t=808443
ao qi 	傲氣	c=0 d=0 t=808443
ao sha li wen 	奧沙利文	c=1 d=0 t=808443
ao si 	奥斯	c=1 d=1.55469e-250 t=808443
ao si 	熬死	c=1 d=1.89379e-189 t=808443
ao tang 	熬湯	c=1 d=0 t=808443
ao te 	奧特	c=1 d=8.76376e-213 t=808443
ao te man 	奧特曼	c=4 d=4.35192e-66 t=808443
ao tu 	凹凸	c=2 d=7.92445e-40 t=808443
ao xian 	凹陷	c=1 d=0 t=808443
ao xiang 	翱翔	c=1 d=0 t=808443
ao yan 	鏊砚	c=0 d=2.6376e-117 t=808443
ao ye 	熬夜	c=37 d=0.0837432 t=808443
ao you 	傲遊	c=2 d=0 t=808443
ao you 	遨遊	c=4 d=9.63541e-27 t=808443
ao yun hui 	奧運會	c=2 d=0 t=808443
ao zhe 	熬着	c=2 d=3.71541e-88 t=808443
ao zhou 	澳洲	c=3 d=7.22012e-22 t=808443
ao zou 	熬走	c=1 d=1.35882e-254 t=808443
ba 	八	c=19 d=1.49951e-31 t=808443
ba 	吧	c=4113 d=2.29274 t=808449
ba 	巴	c=12 d=5.03646e-20 t=808443
ba 	扒	c=3 d=0 t=808443
ba 	把	c=866 d=1.49923 t=808443
ba 	拔	c=7 d=5.15325e-25 t=808443
ba 	爸	c=5 d=0.00082099 t=808443
